,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,18a4e85e-11e5-437e-8829-9ff49e5b421c,1,,,3930163,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 15731, 'name': 'Predrag Rajković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 27719, 'name': 'Strahinja Pavlović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6318, 'name': 'Andrija Živković'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6687, 'name': 'Saša Lukić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 16489, 'name': 'Nemanja Gudelj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18015, 'name': 'Dušan Vlahović'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5e95467f-e59d-4838-b692-ecf1a7376be0,2,,,3930163,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3664, 'name': 'Trent Alexander-Arnold'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c181d9c-b1fd-4b4d-900e-1d32639cbc41,3,,,3930163,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['86cc1303-942c-4c0d-8714-ccc398b76385'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,86cc1303-942c-4c0d-8714-ccc398b76385,4,,,3930163,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['4c181d9c-b1fd-4b4d-900e-1d32639cbc41'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a9a22987-7280-4ee7-813d-1d8946835d44,2040,,,3930163,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,62,Serbia,786,['1c4b7698-723d-4632-bee1-faed2048aa92'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1c4b7698-723d-4632-bee1-faed2048aa92,2041,,,3930163,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,62,Serbia,786,['a9a22987-7280-4ee7-813d-1d8946835d44'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,2.469956,,,,,,,,,,,,,,407d43f4-4298-4a72-b53e-f099445307de,5,,"[61.0, 40.1]",3930163,0,,,,-3.0970538,,Left Foot,,,"[25.1, 38.5]",Ground Pass,35.93564,,,,,Jordan Pickford,3468.0,,,,,Kick Off,1,From Kick Off,Bukayo Saka,22084.0,Right Wing,2,England,768,['a7a150c5-eeee-448f-b1b2-bb65f43cd6bb'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.458,Pass,
7,,,,,,,,,,,,,,,,,3.624356,,,,,,,,,,,,,,a96d3011-3ddb-4150-9bda-8a5417b76881,8,,"[38.1, 36.9]",3930163,0,,,,-0.16441482,,Left Foot,,,"[104.4, 25.9]",High Pass,67.20632,,,Incomplete,,Harry Kane,10955.0,,,,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,"['63d0c207-48b7-4aef-969d-56d1d29a9f2b', '658ae8ab-7c52-49d3-9fff-9a4104498277']",7,,,,,,,,,,,,,,,,,England,768,00:00:07.392,Pass,
8,,,,,,,,,,,,,,,,,3.554849,,,,,,,,,,,,,,658ae8ab-7c52-49d3-9fff-9a4104498277,11,,"[15.7, 54.2]",3930163,0,,,True,2.070143,,,,,"[7.3, 69.6]",Low Pass,17.54195,,,,,Milos Veljkovic,6321.0,,,,,Recovery,1,Regular Play,Nikola Milenković,5603.0,Center Back,3,Serbia,786,"['a96d3011-3ddb-4150-9bda-8a5417b76881', 'b78f79e2-4e00-433a-847c-8463bcd69bf8', 'd8fb7b00-f3bd-41f0-8c2e-fd717dc3ab9b']",11,,,,,,,,,,,,,,,,,Serbia,786,00:00:11.017,Pass,True
9,,,,,,,,,,,,,,,,,2.737899,,,,,,,,,,,,,,5a154750-78fb-4f50-ad94-137e038881a0,14,,"[4.2, 72.3]",3930163,0,,,,-0.1613751,,Right Foot,,,"[55.8, 63.9]",High Pass,52.27925,,,,,Aleksandar Mitrović,4269.0,,,,,,1,Regular Play,Milos Veljkovic,6321.0,Right Center Back,3,Serbia,786,['3aeb1eff-a001-4e54-9f7c-48ca1f45ef6f'],14,,,,,,,,,,,,,,,,,Serbia,786,00:00:14.783,Pass,
