,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,65f809e6-a1b3-41d5-b95f-d5728ea508e9,1,,,,3930181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 29399, 'name': 'Conor Gallagher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae40226c-ca25-491f-9e78-67f4ae221df0,2,,,,3930181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 137487, 'name': 'Žan Karničnik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 205932, 'name': 'Vanja Drkušić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 16047, 'name': 'Jaka Bijol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 28211, 'name': 'Erik Janža'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 31968, 'name': 'Adam Gnezda Čerin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15896, 'name': 'Timi Elšnik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16528, 'name': 'Petar Stojanović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 31089, 'name': 'Jan Mlakar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31866, 'name': 'Andraž Šporar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 38759, 'name': 'Benjamin Šeško'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Slovenia,944,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6c4f1a3-2bad-48eb-97f1-d59133157684,3,,,,3930181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['c8dfe1fb-fe97-4a43-9794-b7c75e2e8d8c'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c8dfe1fb-fe97-4a43-9794-b7c75e2e8d8c,4,,,,3930181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['a6c4f1a3-2bad-48eb-97f1-d59133157684'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5949204-9f5f-4e1e-9c22-c3e2a5e660cc,1922,,,,3930181,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,68,England,768,['02353d95-ba17-441d-a6a6-bc731f54472c'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02353d95-ba17-441d-a6a6-bc731f54472c,1923,,,,3930181,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,68,England,768,['a5949204-9f5f-4e1e-9c22-c3e2a5e660cc'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,2.477005,,,,,,,,,,,,,f6ef150f-487d-4c7e-943f-580ef34f00d9,5,,,"[61.0, 40.1]",3930181,0,,,,3.0584514,,Left Foot,,,"[28.6, 42.8]",Ground Pass,32.512306,,,,,Jordan Pickford,3468.0,,,,,,Kick Off,1,From Kick Off,Phil Foden,4354.0,Left Wing,2,England,768,['840a7c3b-33a1-4e26-a0c9-0c33e68dd348'],1,,,,,,,,,,,,,,,,,England,768,00:00:01.404,Pass,
7,,,,,,,,,,,,,,,,,,3.983493,,,,,,,,,,,,,963b1ba6-67e0-49b2-80cd-4ffc17b22d88,8,,,"[29.9, 44.9]",3930181,0,,,,0.18488131,,Left Foot,,,"[94.6, 57.0]",High Pass,65.82173,,,Incomplete,,Harry Kane,10955.0,,,,,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,"['aaa1c5a8-3e98-4e9f-9717-ae50526d8ee0', 'c24fb30b-bd8f-4db9-88a9-141bc448fd72']",3,,,,,,,,,,,,,,,,,England,768,00:00:03.906,Pass,
8,,,,,,,,,,,,,,,,,,2.780105,,,,,,,,,,,,,c24fb30b-bd8f-4db9-88a9-141bc448fd72,10,,,"[25.5, 23.1]",3930181,0,,,,0.0027472458,,Head,,,"[61.9, 23.2]",High Pass,36.40014,,,Incomplete,,Benjamin Šeško,38759.0,,,,,,Recovery,1,From Kick Off,Jaka Bijol,16047.0,Left Center Back,2,England,768,"['3ff571dd-928f-4a6a-a7f4-6a85857a45bb', '6e27865d-dade-4e79-a95a-5162c210bc8e', '963b1ba6-67e0-49b2-80cd-4ffc17b22d88']",7,,,,,,,,,,,,,,,,,Slovenia,944,00:00:07.890,Pass,
9,,,,,,,,,,,,,,,,,,1.176844,,,,,,,,,,,,,6e27865d-dade-4e79-a95a-5162c210bc8e,12,,,"[58.2, 56.9]",3930181,0,,,,1.8195063,,Head,,,"[55.0, 69.5]",Low Pass,13.0,,,,,Kyle Walker,3205.0,,,,,,Recovery,1,From Kick Off,John Stones,3244.0,Right Center Back,2,England,768,"['c24fb30b-bd8f-4db9-88a9-141bc448fd72', 'e0cbb3db-8f52-4d8a-802c-280c6a5ec12c']",10,,,,,,,,,,,,,,,,,England,768,00:00:10.670,Pass,
