,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,50aa204f-5d65-4145-8597-5d5628fb7898,1,,,,3943043,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22128, 'name': 'Robin Aime Robert Le Normand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 68574, 'name': 'Nicholas Williams Arthuer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,772,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a279cbee-9ab3-4cfb-9c51-27cacc1bf2a2,2,,,,3943043,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d2126e70-9f04-4bb7-ba2b-9377836d1757,3,,,,3943043,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['54d78bfa-4146-42bd-acdc-97bcd393dd81'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54d78bfa-4146-42bd-acdc-97bcd393dd81,4,,,,3943043,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['d2126e70-9f04-4bb7-ba2b-9377836d1757'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7230470a-8ceb-4eb8-a66f-d72a2afb12d6,1706,,,,3943043,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Spain,772,['cb9ba06c-a673-448d-ab21-755d330fcadc'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cb9ba06c-a673-448d-ab21-755d330fcadc,1707,,,,3943043,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,79,Spain,772,['7230470a-8ceb-4eb8-a66f-d72a2afb12d6'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,,2.529454,,,,,,,,,,,,152820f0-6ca9-4df3-943b-a67d568ff472,5,,,"[60.0, 40.0]",3943043,0,,,,-3.1069245,,Right Foot,,,"[25.4, 38.8]",,Ground Pass,,34.620804,,,,Jordan Pickford,3468.0,,,,,Kick Off,1,From Kick Off,Kobbie Mainoo,99174.0,Right Defensive Midfield,2,England,768,['d64668c7-747c-4a7d-912c-e1c3ff357a67'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.340,Pass,
7,,,,,,,,,,,,,,,,,,,5.137795,,,,,,,,,,,,237201b8-aef8-4823-b282-e82875795c07,8,,,"[28.7, 31.6]",3943043,0,,,,0.3765344,,Left Foot,,,"[120.0, 67.7]",,High Pass,,98.1779,,Out,,Bukayo Saka,22084.0,,,,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,['c979e198-edc1-4f22-851a-26cedb6474cf'],4,,,,,,,,,,,,,,,,,,England,768,00:00:04.742,Pass,
8,,,,,,,,,,,,,,,,,,,1.217978,,,,,,,,,,,,238f44cb-0f18-4217-85b5-8cc6345278fe,10,,,"[6.9, 39.6]",3943043,0,,,,1.4464413,,Left Foot,,,"[9.1, 57.2]",,Ground Pass,,17.736967,,,,Robin Aime Robert Le Normand,22128.0,,,,,Goal Kick,1,From Goal Kick,Unai Simón Mendibil,11748.0,Goalkeeper,3,Spain,772,['00b729e2-1d98-4bc2-b763-3a8f4f7f1daf'],34,,,,,,,,,,,,,,,,,,Spain,772,00:00:34.440,Pass,
9,,,,,,,,,,,,,,,,,,,1.390837,,,,,,,,,,,,660f4d9e-9ae4-4a8c-9f44-acdbc0a04e8c,13,,,"[8.9, 57.2]",3943043,0,,,,1.0093026,,Right Foot,,,"[20.6, 75.8]",,Ground Pass,,21.973848,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Goal Kick,Robin Aime Robert Le Normand,22128.0,Right Center Back,3,Spain,772,['55276290-a4be-4d29-972d-a996549a9641'],36,,,,,,,,,,,,,,,,,,Spain,772,00:00:36.279,Pass,
